t,roll,pitch,yaw,ax,ay,az,gx,gy,gz
0.000000,34.450,-53.311,23.508,-0.0011,-0.0833,-0.0797,0.000,0.000,0.000
0.016667,34.300,-53.236,23.637,-0.0954,-0.1907,0.0685,-0.705,2.613,-0.718
0.033334,33.978,-53.017,23.880,-0.2655,-0.3115,0.2094,-0.876,2.095,-0.056
0.050001,33.608,-52.623,24.185,-0.2392,-0.2680,0.2376,-0.079,1.204,0.070
0.066668,33.349,-52.272,24.338,-0.2651,-0.1749,0.2195,1.509,-0.066,-0.124
0.083335,33.233,-51.989,24.375,-0.1930,-0.0517,0.1736,2.951,-0.638,0.157
0.100002,33.234,-51.791,24.343,-0.0395,0.0400,0.1040,4.966,-0.385,0.728
0.116669,33.263,-51.671,24.294,0.0112,0.0707,0.0271,4.632,0.409,1.097
0.133336,33.291,-51.583,24.222,0.1772,0.0501,-0.0659,2.706,1.470,0.082
0.150003,33.275,-51.533,24.168,0.0604,0.1105,-0.0281,0.681,2.052,-0.069
0.166670,33.269,-51.498,24.100,-0.0309,0.0733,0.0394,0.335,2.164,-0.237
0.183337,33.281,-51.468,24.015,-0.1087,0.0243,0.1500,0.675,1.815,-0.240
0.200004,33.274,-51.441,23.950,-0.1357,-0.0979,0.2337,-0.379,1.518,0.213
0.216671,33.244,-51.419,23.902,-0.0384,-0.1589,0.2286,-0.495,1.155,1.099
0.233338,33.198,-51.408,23.867,-0.0068,-0.1052,0.1630,-1.025,0.424,1.283
0.250005,33.125,-51.408,23.830,-0.0782,0.0274,0.1064,-2.506,-0.154,1.417
0.266672,33.078,-51.415,23.747,-0.0259,0.0275,0.0187,-2.049,-0.801,1.105
0.283339,33.056,-51.425,23.669,-0.0832,-0.0198,0.0514,-1.265,-1.087,0.729
0.300006,33.049,-51.429,23.574,-0.0458,-0.0758,0.0460,-1.296,-1.177,-0.035
0.316673,33.026,-51.429,23.476,-0.0049,-0.0335,0.0889,-2.339,-1.034,-0.333
0.333340,32.982,-51.431,23.410,-0.0101,0.0423,0.0878,-3.277,-0.968,-0.146
0.350007,32.935,-51.429,23.339,0.0027,0.0934,0.0706,-3.731,-0.728,-0.435
0.366674,32.862,-51.418,23.277,0.0116,0.1932,0.0717,-5.180,-0.082,-0.608
0.383341,32.778,-51.404,23.244,0.0012,0.1971,0.0864,-5.703,0.390,-0.540
0.400008,32.728,-51.408,23.199,-0.0336,0.0774,0.1493,-3.101,-0.055,0.535
0.416675,32.721,-51.443,23.184,-0.0986,-0.1053,0.2393,0.371,-1.230,2.143
0.433342,32.725,-51.492,23.158,-0.1111,-0.1901,0.2676,0.972,-2.116,2.498
0.450009,32.731,-51.539,23.125,0.0005,-0.1953,0.1416,0.526,-2.420,2.001
0.466676,32.751,-51.574,23.117,0.1226,-0.0976,0.0256,0.415,-2.365,0.801
0.483343,32.776,-51.593,23.032,0.1894,0.0339,-0.1371,-0.163,-1.957,-0.428
0.500010,32.816,-51.597,22.932,0.2051,0.0864,-0.1526,0.441,-1.194,-1.223
0.516677,32.882,-51.592,22.850,0.1745,0.0414,-0.0912,1.919,-0.631,-1.601
0.533344,32.934,-51.581,22.751,0.1273,-0.0508,0.0285,1.232,-0.185,-1.797
0.550011,32.956,-51.555,22.662,0.1262,-0.0640,0.0732,-1.127,0.281,-2.700
0.566678,32.971,-51.527,22.615,0.0220,0.0086,0.1396,-1.171,0.546,-2.525
0.583345,32.983,-51.501,22.556,-0.0907,0.0621,0.2205,-1.174,0.531,-2.384
0.600012,32.995,-51.478,22.477,-0.0919,0.1011,0.2353,-1.169,0.420,-2.162
0.616679,33.014,-51.467,22.408,-0.0981,0.0799,0.2179,-0.245,0.012,-1.408
0.633346,33.016,-51.457,22.392,-0.0141,0.0601,0.0855,-0.530,0.286,-0.805
0.650013,32.994,-51.446,22.368,-0.0444,0.0891,0.0639,-1.732,0.439,-0.605
0.666680,32.953,-51.439,22.337,-0.1102,0.0584,0.0473,-2.607,0.420,-0.315
0.683347,32.906,-51.438,22.323,-0.1785,0.0017,0.0624,-2.296,0.351,0.382
0.700014,32.875,-51.445,22.302,-0.1803,0.0233,0.1024,-1.365,-0.137,0.682
0.716681,32.859,-51.464,22.282,-0.1165,0.0515,0.1056,-0.691,-0.782,0.952
0.733348,32.848,-51.486,22.263,-0.0624,0.0019,0.1250,-0.291,-0.932,1.128
0.750015,32.834,-51.504,22.247,-0.0218,-0.0595,0.1615,-0.693,-0.855,0.889
0.766682,32.817,-51.520,22.238,-0.0022,-0.0912,0.1654,-0.850,-0.694,0.795
0.783349,32.818,-51.535,22.206,0.0642,-0.0521,0.1099,0.154,-0.758,0.706
0.800016,32.822,-51.545,22.191,0.1300,0.0349,0.0029,0.034,-0.599,0.291
0.816683,32.805,-51.546,22.181,0.1449,0.1070,-0.0512,-0.967,-0.040,0.178
0.833350,32.779,-51.535,22.189,0.1042,0.0885,-0.0350,-0.750,0.935,0.197
0.850017,32.765,-51.509,22.179,0.0848,0.0665,0.0081,-0.569,1.480,-0.565
0.866684,32.755,-51.483,22.214,0.0393,0.0230,0.0826,-0.647,1.391,-0.819
0.883351,32.769,-51.461,22.202,-0.0238,-0.0289,0.1264,1.097,1.287,-0.512
0.900018,32.804,-51.434,22.194,0.0124,-0.0215,0.1162,1.586,1.201,-1.191
0.916685,32.819,-51.399,22.163,0.0564,0.0300,0.0556,0.124,1.509,-1.622
0.933352,32.833,-51.358,22.128,0.1272,0.1040,0.0258,0.173,1.832,-1.723
0.950019,32.863,-51.311,22.100,0.1052,0.1406,-0.0039,1.139,2.159,-1.979
0.966686,32.885,-51.254,22.099,0.0176,0.0354,0.0782,1.255,2.948,-1.873
0.983353,32.902,-51.197,22.115,-0.1182,-0.1488,0.1482,2.691,3.726,-0.711
1.000020,32.945,-51.160,22.108,-0.0979,-0.1410,0.1695,3.343,2.310,-0.678
1.016687,32.970,-51.146,22.073,-0.0118,-0.1336,0.1971,0.675,0.376,-0.968
1.033354,32.971,-51.154,22.025,-0.0750,-0.0562,0.1577,-1.143,-0.895,-0.570
1.050021,32.968,-51.176,21.990,-0.2500,0.0085,0.1432,-2.391,-2.040,-0.749
1.066688,32.960,-51.212,21.932,-0.2333,-0.0084,0.2247,-2.452,-2.716,-0.109
1.083355,32.947,-51.272,21.901,-0.2369,-0.0151,0.2324,-1.598,-3.390,1.455
1.100022,32.921,-51.343,21.874,-0.0973,-0.0456,0.1399,-2.150,-3.851,2.024
1.116689,32.862,-51.414,21.857,-0.1116,0.0596,0.1261,-4.394,-4.002,1.834
1.133356,32.798,-51.475,21.830,-0.0365,0.0729,0.0401,-4.710,-3.491,1.505
1.150023,32.767,-51.523,21.808,0.0132,0.0633,0.0668,-2.918,-2.901,0.973
1.166690,32.758,-51.563,21.828,0.0320,0.0658,0.0753,-0.468,-2.008,1.430
1.183357,32.780,-51.599,21.836,0.1006,0.0070,0.0900,2.005,-1.559,1.740
1.200024,32.811,-51.626,21.837,0.1948,0.0113,-0.0209,1.887,-1.337,0.994
1.216691,32.819,-51.629,21.792,0.2913,0.0097,-0.0676,-0.508,-0.611,-0.467
1.233358,32.801,-51.618,21.760,0.1985,-0.0144,-0.0497,-2.101,0.176,-1.018
1.250025,32.797,-51.596,21.738,0.0866,-0.0745,0.0532,-1.547,0.563,-1.498
1.266692,32.801,-51.578,21.684,-0.0868,-0.1373,0.1534,-1.605,0.126,-1.844
1.283359,32.823,-51.571,21.624,-0.0941,-0.0993,0.1667,-1.163,-0.710,-1.852
1.300026,32.849,-51.578,21.566,-0.1442,-0.0353,0.1261,-1.188,-1.528,-1.612
1.316693,32.883,-51.585,21.478,-0.0544,0.0258,0.0715,-1.454,-1.887,-2.081
1.333360,32.907,-51.586,21.409,-0.0409,0.1076,0.0774,-1.932,-1.509,-2.161
1.350027,32.923,-51.588,21.339,-0.0793,0.0700,0.0788,-2.013,-1.412,-1.891
1.366694,32.942,-51.591,21.279,-0.0565,0.0118,0.1204,-1.147,-1.126,-1.360
1.383361,32.951,-51.592,21.266,-0.0819,-0.0081,0.1156,-1.526,-0.959,-1.307
1.400028,32.961,-51.605,21.225,-0.1394,-0.0705,0.1307,-1.722,-1.628,-1.046
1.416695,33.001,-51.629,21.182,-0.1429,-0.1026,0.1500,-0.397,-2.464,-1.036
1.433362,33.070,-51.658,21.078,-0.1213,-0.0629,0.1118,-0.184,-3.360,-1.857
1.450029,33.135,-51.685,20.940,-0.0677,-0.0706,0.0857,-1.507,-3.750,-2.600
1.466696,33.210,-51.708,20.813,0.0163,-0.1451,0.1015,-1.859,-3.974,-3.378
1.483363,33.311,-51.737,20.670,0.0500,-0.1498,0.1867,-0.966,-4.537,-3.614
