t,roll,pitch,yaw,ax,ay,az,gx,gy,gz
0.000000,-26.708,-14.715,-23.633,-0.0875,-0.1477,0.1120,0.000,0.000,0.000
0.016667,-26.900,-14.677,-23.713,-0.0397,0.1450,0.0670,-3.440,4.067,-5.684
0.033334,-26.901,-14.548,-23.901,0.0155,0.4920,-0.0590,-6.760,3.563,-4.478
0.050001,-26.625,-14.360,-24.144,0.0759,0.7687,0.1419,-9.252,1.084,-3.172
0.066668,-26.049,-14.154,-24.299,0.1310,0.6526,0.1017,-1.143,-2.201,1.795
0.083335,-25.743,-14.193,-24.101,0.2432,0.8911,0.3167,-9.717,-20.247,13.431
0.100002,-25.527,-14.202,-24.004,0.0778,0.4041,0.8326,-16.674,-14.152,10.628
0.116669,-25.561,-14.310,-23.991,0.1553,0.1456,0.2380,-24.597,-13.946,1.344
0.133336,-25.530,-14.425,-23.955,0.0557,-0.1952,-0.2828,-13.279,-11.371,1.904
0.150003,-25.287,-14.526,-23.873,0.0578,-0.0738,-0.1952,6.666,-8.737,2.958
0.166670,-24.942,-14.693,-23.747,0.0271,-0.0476,-0.1657,16.909,-12.722,3.779
0.183337,-24.354,-14.895,-23.647,-0.0917,-0.3468,-0.2913,32.681,-13.137,0.243
0.200004,-23.643,-14.991,-23.557,-0.0140,-0.2958,-0.1552,42.498,-6.626,1.901
0.216671,-22.909,-15.361,-23.457,0.1099,0.2759,0.5249,45.322,-21.622,-4.041
0.233338,-20.909,-14.455,-23.647,-0.3512,0.7451,-0.6362,116.068,55.092,10.072
0.250005,-18.220,-14.319,-23.382,0.2351,-0.3242,0.1228,163.251,1.204,17.295
0.266672,-15.398,-13.946,-23.348,-0.0752,-0.8373,-0.6988,168.215,21.115,6.954
0.283339,-11.886,-14.043,-23.593,-0.0217,-0.4033,-1.1362,207.625,-1.730,-15.970
0.300006,-7.091,-14.860,-24.107,-0.3127,0.3764,-1.7927,280.538,-42.466,-39.898
0.316673,-1.519,-17.092,-24.993,-0.7888,0.2529,-1.3154,319.209,-129.641,-64.876
0.333340,5.186,-20.822,-27.060,-0.9448,-0.4050,-2.1506,361.146,-229.016,-114.097
0.350007,16.966,-24.738,-32.280,-1.6891,-3.7960,-7.7466,586.378,-288.179,-238.890
