t,roll,pitch,yaw,ax,ay,az,gx,gy,gz
0.000000,20.229,-19.521,-7.465,-0.1793,0.1341,-0.0299,0.000,0.000,0.000
0.016667,20.069,-19.419,-7.370,0.2603,-0.5908,-0.2549,-13.312,-1.771,9.127
0.033334,19.515,-19.802,-7.176,-0.5780,-0.5245,-0.0919,4.465,-3.076,3.299
0.050001,18.875,-19.616,-6.728,-0.0720,-0.5991,0.1400,9.891,-3.177,7.876
0.066668,18.076,-19.408,-6.397,-0.3511,0.7387,0.0719,-3.687,6.761,5.118
0.083335,17.370,-18.868,-6.192,-0.0004,0.2783,-0.2231,-34.788,21.797,7.666
0.100002,16.257,-18.243,-5.983,-0.2243,0.6517,-0.4130,-64.483,33.491,8.258
0.116669,15.163,-17.571,-5.874,0.0179,-0.0105,-0.3390,-71.238,34.997,5.672
0.133336,13.850,-16.938,-5.740,-0.3030,0.0756,0.3646,-80.448,35.847,5.908
0.150003,12.673,-16.435,-5.670,-0.1232,-0.4698,-0.0690,-71.910,26.370,4.100
0.166670,12.688,-16.355,-5.755,0.1419,-0.3747,-0.1495,1.038,0.668,-0.353
0.183337,12.656,-16.303,-5.824,0.2043,0.7200,0.3317,0.410,1.337,0.719
0.200004,12.213,-16.130,-5.794,0.3222,0.3392,-0.1266,-26.561,10.627,3.965
0.216671,12.027,-16.031,-5.757,0.1763,0.0328,0.2189,-11.844,7.674,5.583
0.233338,11.930,-16.021,-5.628,-0.0072,-0.4155,0.5724,-4.660,3.809,10.957
0.250005,12.121,-16.001,-5.569,0.0087,0.1697,0.2452,13.115,3.533,7.284
0.266672,12.093,-15.898,-5.449,0.1630,0.9719,0.0638,0.874,9.087,10.155
0.283339,11.607,-15.652,-5.252,0.0400,0.5186,0.1124,-27.494,18.142,11.955
0.300006,11.175,-15.362,-5.171,-0.0174,0.3069,0.1008,-26.149,19.624,6.779
0.316673,10.845,-15.053,-5.256,-0.1995,0.3943,0.1986,-23.006,18.413,-4.138
0.333340,10.555,-14.795,-5.549,-0.0618,0.0252,-0.0597,-23.029,13.368,-12.097
0.350007,10.699,-14.741,-5.964,0.1522,0.1101,-0.1044,0.638,-0.792,-20.680
0.366674,10.830,-14.703,-6.273,0.3429,0.3202,0.4111,2.112,-0.156,-13.173
0.383341,10.854,-14.682,-6.443,0.4316,0.4798,-0.0110,-1.465,1.175,-2.285
0.400008,10.797,-14.629,-6.411,0.2517,0.4219,0.1831,-4.550,4.789,4.633
0.416675,10.575,-14.602,-6.373,-0.1204,0.1645,-0.4805,-14.389,3.361,5.376
0.433342,10.730,-14.535,-6.237,-0.4383,-0.1110,0.5579,9.927,6.617,10.500
0.450009,11.006,-14.483,-6.325,-0.1622,-0.5234,0.3013,14.673,3.211,-0.302
0.466676,11.472,-14.549,-6.408,0.0151,-0.4086,-0.2034,25.659,-4.546,-2.847
0.483343,12.863,-14.973,-6.496,1.6059,0.3799,-2.5270,82.825,-24.559,6.406
