id,device,rate_hz,has_gyro,cols,n,payload
1,vivoactive4,25,true,6,125,"[728,472,-56,0,0,0,640,804,-368,0,0,0,672,812,-324,0,0,0,676,764,-248,0,0,0,784,852,-104,0,0,0,780,696,244,0,0,0,728,656,248,0,0,0,0,0,0,-105.48384094238281,-69.97459411621094,69.7529296875,0,0,0,-52.28384017944336,-66.92959594726562,56.487937927246094,0,0,0,-17.213838577270508,-58.59959030151367,41.78793716430664,0,0,0,-14.13383960723877,-52.92959213256836,37.41293716430664,0,0,0,12.851160049438477,-32.80459213256836,38.532936096191406,0,0,0,32.941162109375,0.6904076337814331,38.46293640136719,0,0,0,60.80116271972656,47.27540969848633,33.282936096191406,0,0,0,92.40615844726562,108.59540557861328,25.477935791015625,0,0,0,143.08616638183594,184.0904083251953,11.4429349899292,0,0,0,183.79116821289062,255.45541381835938,-25.062063217163086,0,0,0,205.21116638183594,313.9053955078125,-81.76206970214844,0,0,0,263.1011657714844,355.7654113769531,-141.1220703125,0,0,0,284.8011474609375,358.4953918457031,-208.0770721435547,0,0,0,253.826171875,339.42041015625,-275.487060546875,0,0,0,243.7461700439453,308.6903991699219,-343.80706787109375,0,0,0,238.1461639404297,271.3804016113281,-409.7120666503906,0,0,0,205.7711639404297,215.8004150390625,-459.237060546875,0,0,0,180.6411590576172,159.52041625976562,-462.0020751953125,0,0,0,198.87615966796875,97.57040405273438,-430.0120849609375,0,0,0,167.34117126464844,26.135408401489258,-385.632080078125,0,0,0,142.63116455078125,-6.974592208862305,-318.6420593261719,0,0,0,155.47616577148438,-32.104591369628906,-233.76707458496094,0,0,0,36.89616012573242,-37.28459167480469,-75.67206573486328,0,0,0,-6.608839511871338,-8.374592781066895,125.36793518066406,0,0,0,-26.558837890625,3.420407772064209,274.4679260253906,604,560,240,0,0,0,564,532,504,0,0,0,460,584,732,0,0,0,380,668,1028,0,0,0,444,916,1324,0,0,0,680,996,1488,0,0,0,1048,1284,1584,0,0,0,1752,1580,1916,0,0,0,2232,1500,1848,0,0,0,2316,1596,1376,0,0,0,2196,1888,968,0,0,0,1988,1704,740,0,0,0,1708,1412,456,0,0,0,1476,984,-16,0,0,0,1236,192,-272,0,0,0,992,-180,-276,0,0,0,764,-604,-188,0,0,0,336,-1280,124,0,0,0,60,-1540,-40,0,0,0,116,-1188,-500,0,0,0,468,-788,-588,0,0,0,960,-220,-440,0,0,0,1884,408,-408,0,0,0,3612,520,-312,0,0,0,7072,988,272,0,0,0,0,0,0,-60.683837890625,-2.459592342376709,387.6579284667969,0,0,0,-76.43384552001953,-19.154592514038086,490.1729431152344,0,0,0,-118.36384582519531,-69.13459777832031,638.7479248046875,0,0,0,-181.15383911132812,-188.6245880126953,814.48291015625,0,0,0,-325.8438415527344,-447.02960205078125,910.7679443359375,0,0,0,-452.12384033203125,-777.464599609375,754.8779296875,0,0,0,-192.77383422851562,-656.7495727539062,380.83294677734375,0,0,0,-243.3838348388672,-651.3595581054688,142.5879364013672,0,0,0,-214.33383178710938,-615.7295532226562,-85.92707061767578,0,0,0,14.531160354614258,-476.8846130371094,-310.4520568847656,0,0,0,259.4611511230469,-399.2196044921875,-348.4970703125,0,0,0,313.3261413574219,-366.52960205078125,-340.0270690917969,0,0,0,356.8311462402344,-303.28460693359375,-318.8520812988281,0,0,0,285.74615478515625,-225.93458557128906,-297.92205810546875,0,0,0,245.076171875,-153.23959350585938,-250.98707580566406,0,0,0,200.17117309570312,-87.40459442138672,-214.6220703125,0,0,0,135.35116577148438,-41.55459213256836,-175.63206481933594,0,0,0,103.1861572265625,-14.07959270477295,-135.1720733642578,0,0,0,63.53116226196289,-9.66959285736084,-81.55207061767578,0,0,0,33.67616271972656,-2.4945924282073975,-29.752063751220703,0,0,0,-5.663839817047119,6.185407638549805,18.337936401367188,0,0,0,-38.77383804321289,19.275407791137695,53.68793487548828,0,0,0,-71.56884002685547,39.05040740966797,68.91293334960938,0,0,0,-74.22884368896484,68.9404067993164,62.36793518066406,0,0,0,-81.36884307861328,91.44540405273438,60.7579345703125,8160,3784,3536,0,0,0,7764,5100,2932,0,0,0,6920,3876,3600,0,0,0,3800,3748,3524,0,0,0,2556,2724,2356,0,0,0,1920,1564,2576,0,0,0,1224,788,1444,0,0,0,280,424,2168,0,0,0,164,116,1196,0,0,0,-136,-608,984,0,0,0,-208,-864,1016,0,0,0,-288,-984,720,0,0,0,-288,-1300,520,0,0,0,-456,-1424,424,0,0,0,-460,-1368,260,0,0,0,-552,-1152,328,0,0,0,-588,-924,128,0,0,0,-660,-776,156,0,0,0,-660,-800,-4,0,0,0,-692,-744,28,0,0,0,-664,-612,-96,0,0,0,-620,-588,-172,0,0,0,-612,-496,-368,0,0,0,-400,-416,-820,0,0,0,-292,-308,-1116,0,0,0,0,0,0,-60.683837890625,121.0204086303711,55.92793655395508,0,0,0,-52.17884063720703,151.4704132080078,54.59793472290039,0,0,0,-24.248838424682617,176.28541564941406,45.602935791015625,0,0,0,13.691160202026367,191.89541625976562,19.947935104370117,0,0,0,46.066162109375,174.71041870117188,-11.657065391540527,0,0,0,88.76615905761719,158.96041870117188,-41.932064056396484,0,0,0,58.981163024902344,128.61541748046875,-43.19206237792969,0,0,0,46.97616195678711,87.77040100097656,-55.092063903808594,0,0,0,10.191160202026367,28.830408096313477,-62.26706314086914,0,0,0,-1.1488394737243652,-16.21459197998047,-33.04206466674805,0,0,0,-2.0588393211364746,-18.80459213256836,-28.807064056396484,0,0,0,-6.2588396072387695,-24.194591522216797,-22.612064361572266,0,0,0,-5.628839492797852,-27.34459114074707,-15.6820650100708,0,0,0,0.35616055130958557,-28.21959114074707,-8.75206470489502,0,0,0,-4.368839740753174,-21.42959213256836,-7.737064838409424,0,0,0,-0.9388394355773926,-12.25959300994873,-4.552064895629883,0,0,0,-2.653839349746704,-6.659592151641846,-3.0120646953582764,0,0,0,-0.8688395023345947,-4.839592456817627,-2.662064790725708]"
2,vivoactive4,25,true,6,125,"[-260,900,-988,0,0,0,-328,456,-648,0,0,0,-244,352,-848,0,0,0,-156,112,-844,0,0,0,-136,36,-984,0,0,0,-124,36,-1052,0,0,0,-176,128,-1088,0,0,0,-128,72,-1048,0,0,0,-84,40,-1044,0,0,0,-32,12,-1072,0,0,0,-36,28,-1064,0,0,0,-56,20,-1020,0,0,0,-60,48,-1056,0,0,0,-56,36,-1084,0,0,0,-4,-76,-1072,0,0,0,-12,-96,-964,0,0,0,-20,-20,-916,0,0,0,0,0,0,6.131160259246826,21.340408325195312,-7.667065143585205,0,0,0,0.4961605370044708,18.295408248901367,-10.327065467834473,0,0,0,-3.598839282989502,14.86540699005127,-11.237065315246582,0,0,0,5.746160507202148,18.540409088134766,-10.782065391540527,0,0,0,17.296161651611328,25.470407485961914,-13.477065086364746,0,0,0,3.891160726547241,11.995407104492188,-17.502063751220703,0,0,0,-19.278839111328125,-2.7395923137664795,-18.832063674926758,0,0,0,-15.953839302062988,7.165407657623291,-8.927064895629883,0,0,0,-34.958839416503906,18.470407485961914,-0.21206480264663696,0,0,0,-37.12883758544922,34.50040817260742,14.242935180664062,0,0,0,-53.99884033203125,37.09040832519531,31.21793556213379,0,0,0,-48.85383987426758,48.57040786743164,42.45293426513672,0,0,0,-106.56884002685547,62.18540954589844,44.09793472290039,0,0,0,-175.4838409423828,75.17040252685547,56.27793502807617,0,0,0,-263.0888366699219,94.98040771484375,61.98293685913086,0,0,0,-467.2438659667969,87.1404037475586,64.7829360961914,0,0,0,-555.4088745117188,46.96040725708008,75.03793334960938,0,0,0,-430.1088562011719,-2.3545923233032227,95.93292999267578,0,0,0,-211.74383544921875,-54.854591369628906,97.8579330444336,0,0,0,-67.71884155273438,-86.94959259033203,91.34793090820312,0,0,0,-35.20383834838867,-83.34459686279297,81.05792999267578,0,0,0,-55.083839416503906,-73.99959564208984,70.0329360961914,0,0,0,-32.05384063720703,-51.459590911865234,70.06793212890625,0,0,0,6.3061604499816895,-14.254592895507812,68.0029296875,0,0,0,37.316162109375,35.51540756225586,70.2779312133789,80,-56,-824,0,0,0,112,-4,-884,0,0,0,136,60,-832,0,0,0,152,140,-836,0,0,0,124,180,-624,0,0,0,188,304,-788,0,0,0,232,532,-524,0,0,0,308,844,-260,0,0,0,500,1308,-184,0,0,0,516,1092,12,0,0,0,620,1040,60,0,0,0,700,780,236,0,0,0,664,760,400,0,0,0,612,556,480,0,0,0,592,584,500,0,0,0,528,564,696,0,0,0,476,692,852,0,0,0,472,704,1028,0,0,0,524,884,1108,0,0,0,704,1076,1408,0,0,0,1124,1428,1732,0,0,0,1644,1640,1928,0,0,0,1984,1588,1972,0,0,0,2064,1708,1784,0,0,0,2052,1504,1372,0,0,0,0,0,0,88.20616149902344,86.30040740966797,67.96793365478516,0,0,0,140.25115966796875,141.53041076660156,57.95793533325195,0,0,0,179.34616088867188,194.3804168701172,26.597936630249023,0,0,0,205.5261688232422,251.15040588378906,-28.527063369750977,0,0,0,235.10116577148438,302.11041259765625,-105.21206665039062,0,0,0,248.85617065429688,353.59539794921875,-189.4920654296875,0,0,0,263.1011657714844,376.59039306640625,-261.5220642089844,0,0,0,259.11114501953125,359.58038330078125,-318.0820617675781,0,0,0,233.91116333007812,320.6253967285156,-360.0820617675781,0,0,0,220.50616455078125,273.5503845214844,-380.487060546875,0,0,0,209.48117065429688,212.82540893554688,-385.8420715332031,0,0,0,174.34117126464844,163.54541015625,-368.3420715332031,0,0,0,163.56117248535156,114.19540405273438,-319.0970764160156,0,0,0,169.58116149902344,64.77540588378906,-262.7120666503906,0,0,0,147.88116455078125,19.310407638549805,-195.51206970214844,0,0,0,73.40116119384766,-14.674592971801758,-112.73706817626953,0,0,0,34.51616287231445,-26.924591064453125,-12.847064971923828,0,0,0,36.96615982055664,-31.92959213256836,87.95293426513672,0,0,0,-0.4488394558429718,-39.559593200683594,233.16793823242188,0,0,0,-49.903839111328125,-69.0645980834961,383.45794677734375,0,0,0,-158.89382934570312,-137.6295928955078,508.6529235839844,0,0,0,-235.33383178710938,-259.53460693359375,644.032958984375,0,0,0,-230.36383056640625,-443.984619140625,767.617919921875,0,0,0,-273.9038391113281,-599.8745727539062,793.2379150390625,0,0,0,-431.50885009765625,-692.9395751953125,481.2129211425781,1832,1184,768,0,0,0,1444,824,288,0,0,0,1220,340,-32,0,0,0,772,-128,-20,0,0,0,756,-584,-476,0,0,0,180,-960,-216,0,0,0,96,-948,-672,0,0,0,-172,-748,-544,0,0,0,12,-568,-592,0,0,0,328,-224,-556,0,0,0,844,56,-376,0,0,0,1772,132,72,0,0,0,3348,724,-4,0,0,0,5832,1572,56,0,0,0,8120,2952,3400,0,0,0,5840,3852,3332,0,0,0,4040,2768,3072,0,0,0,2008,2880,2072,0,0,0,1920,1740,1100,0,0,0,1524,1188,1356,0,0,0,584,708,1088,0,0,0,-128,544,1012,0,0,0,-560,300,580,0,0,0,-524,-24,184,0,0,0,-744,-464,308,0,0,0,0,0,0,-229.558837890625,-536.66455078125,78.95793151855469,0,0,0,-164.31883239746094,-533.6195678710938,-78.29706573486328,0,0,0,16.596160888671875,-442.339599609375,-210.17706298828125,0,0,0,173.326171875,-378.359619140625,-271.42706298828125,0,0,0,254.4911651611328,-351.1296081542969,-235.4120635986328,0,0,0,279.691162109375,-283.3695983886719,-185.85206604003906,0,0,0,264.6761474609375,-225.72459411621094,-154.98207092285156,0,0,0,211.79116821289062,-160.69459533691406,-135.90707397460938]"
3,vivoactive4,25,true,6,125,"[728,472,-56,0,0,0,640,804,-368,0,0,0,672,812,-324,0,0,0,676,764,-248,0,0,0,784,852,-104,0,0,0,780,696,244,0,0,0,728,656,248,0,0,0,0,0,0,-105.48384094238281,-69.97459411621094,69.7529296875,0,0,0,-52.28384017944336,-66.92959594726562,56.487937927246094,0,0,0,-17.213838577270508,-58.59959030151367,41.78793716430664,0,0,0,-14.13383960723877,-52.92959213256836,37.41293716430664,0,0,0,12.851160049438477,-32.80459213256836,38.532936096191406,0,0,0,32.941162109375,0.6904076337814331,38.46293640136719,0,0,0,60.80116271972656,47.27540969848633,33.282936096191406,0,0,0,92.40615844726562,108.59540557861328,25.477935791015625,0,0,0,143.08616638183594,184.0904083251953,11.4429349899292,0,0,0,183.79116821289062,255.45541381835938,-25.062063217163086,0,0,0,205.21116638183594,313.9053955078125,-81.76206970214844,0,0,0,263.1011657714844,355.7654113769531,-141.1220703125,0,0,0,284.8011474609375,358.4953918457031,-208.0770721435547,0,0,0,253.826171875,339.42041015625,-275.487060546875,0,0,0,243.7461700439453,308.6903991699219,-343.80706787109375,0,0,0,238.1461639404297,271.3804016113281,-409.7120666503906,0,0,0,205.7711639404297,215.8004150390625,-459.237060546875,0,0,0,180.6411590576172,159.52041625976562,-462.0020751953125,0,0,0,198.87615966796875,97.57040405273438,-430.0120849609375,0,0,0,167.34117126464844,26.135408401489258,-385.632080078125,0,0,0,142.63116455078125,-6.974592208862305,-318.6420593261719,0,0,0,155.47616577148438,-32.104591369628906,-233.76707458496094,0,0,0,36.89616012573242,-37.28459167480469,-75.67206573486328,0,0,0,-6.608839511871338,-8.374592781066895,125.36793518066406,0,0,0,-26.558837890625,3.420407772064209,274.4679260253906,604,560,240,0,0,0,564,532,504,0,0,0,460,584,732,0,0,0,380,668,1028,0,0,0,444,916,1324,0,0,0,680,996,1488,0,0,0,1048,1284,1584,0,0,0,1752,1580,1916,0,0,0,2232,1500,1848,0,0,0,2316,1596,1376,0,0,0,2196,1888,968,0,0,0,1988,1704,740,0,0,0,1708,1412,456,0,0,0,1476,984,-16,0,0,0,1236,192,-272,0,0,0,992,-180,-276,0,0,0,764,-604,-188,0,0,0,336,-1280,124,0,0,0,60,-1540,-40,0,0,0,116,-1188,-500,0,0,0,468,-788,-588,0,0,0,960,-220,-440,0,0,0,1884,408,-408,0,0,0,3612,520,-312,0,0,0,7072,988,272,0,0,0,0,0,0,-60.683837890625,-2.459592342376709,387.6579284667969,0,0,0,-76.43384552001953,-19.154592514038086,490.1729431152344,0,0,0,-118.36384582519531,-69.13459777832031,638.7479248046875,0,0,0,-181.15383911132812,-188.6245880126953,814.48291015625,0,0,0,-325.8438415527344,-447.02960205078125,910.7679443359375,0,0,0,-452.12384033203125,-777.464599609375,754.8779296875,0,0,0,-192.77383422851562,-656.7495727539062,380.83294677734375,0,0,0,-243.3838348388672,-651.3595581054688,142.5879364013672,0,0,0,-214.33383178710938,-615.7295532226562,-85.92707061767578,0,0,0,14.531160354614258,-476.8846130371094,-310.4520568847656,0,0,0,259.4611511230469,-399.2196044921875,-348.4970703125,0,0,0,313.3261413574219,-366.52960205078125,-340.0270690917969,0,0,0,356.8311462402344,-303.28460693359375,-318.8520812988281,0,0,0,285.74615478515625,-225.93458557128906,-297.92205810546875,0,0,0,245.076171875,-153.23959350585938,-250.98707580566406,0,0,0,200.17117309570312,-87.40459442138672,-214.6220703125,0,0,0,135.35116577148438,-41.55459213256836,-175.63206481933594,0,0,0,103.1861572265625,-14.07959270477295,-135.1720733642578,0,0,0,63.53116226196289,-9.66959285736084,-81.55207061767578,0,0,0,33.67616271972656,-2.4945924282073975,-29.752063751220703,0,0,0,-5.663839817047119,6.185407638549805,18.337936401367188,0,0,0,-38.77383804321289,19.275407791137695,53.68793487548828,0,0,0,-71.56884002685547,39.05040740966797,68.91293334960938,0,0,0,-74.22884368896484,68.9404067993164,62.36793518066406,0,0,0,-81.36884307861328,91.44540405273438,60.7579345703125,8160,3784,3536,0,0,0,7764,5100,2932,0,0,0,6920,3876,3600,0,0,0,3800,3748,3524,0,0,0,2556,2724,2356,0,0,0,1920,1564,2576,0,0,0,1224,788,1444,0,0,0,280,424,2168,0,0,0,164,116,1196,0,0,0,-136,-608,984,0,0,0,-208,-864,1016,0,0,0,-288,-984,720,0,0,0,-288,-1300,520,0,0,0,-456,-1424,424,0,0,0,-460,-1368,260,0,0,0,-552,-1152,328,0,0,0,-588,-924,128,0,0,0,-660,-776,156,0,0,0,-660,-800,-4,0,0,0,-692,-744,28,0,0,0,-664,-612,-96,0,0,0,-620,-588,-172,0,0,0,-612,-496,-368,0,0,0,-400,-416,-820,0,0,0,-292,-308,-1116,0,0,0,0,0,0,-60.683837890625,121.0204086303711,55.92793655395508,0,0,0,-52.17884063720703,151.4704132080078,54.59793472290039,0,0,0,-24.248838424682617,176.28541564941406,45.602935791015625,0,0,0,13.691160202026367,191.89541625976562,19.947935104370117,0,0,0,46.066162109375,174.71041870117188,-11.657065391540527,0,0,0,88.76615905761719,158.96041870117188,-41.932064056396484,0,0,0,58.981163024902344,128.61541748046875,-43.19206237792969,0,0,0,46.97616195678711,87.77040100097656,-55.092063903808594,0,0,0,10.191160202026367,28.830408096313477,-62.26706314086914,0,0,0,-1.1488394737243652,-16.21459197998047,-33.04206466674805,0,0,0,-2.0588393211364746,-18.80459213256836,-28.807064056396484,0,0,0,-6.2588396072387695,-24.194591522216797,-22.612064361572266,0,0,0,-5.628839492797852,-27.34459114074707,-15.6820650100708,0,0,0,0.35616055130958557,-28.21959114074707,-8.75206470489502,0,0,0,-4.368839740753174,-21.42959213256836,-7.737064838409424,0,0,0,-0.9388394355773926,-12.25959300994873,-4.552064895629883,0,0,0,-2.653839349746704,-6.659592151641846,-3.0120646953582764,0,0,0,-0.8688395023345947,-4.839592456817627,-2.662064790725708]"
4,vivoactive4,25,true,6,125,"[-260,900,-988,0,0,0,-328,456,-648,0,0,0,-244,352,-848,0,0,0,-156,112,-844,0,0,0,-136,36,-984,0,0,0,-124,36,-1052,0,0,0,-176,128,-1088,0,0,0,-128,72,-1048,0,0,0,-84,40,-1044,0,0,0,-32,12,-1072,0,0,0,-36,28,-1064,0,0,0,-56,20,-1020,0,0,0,-60,48,-1056,0,0,0,-56,36,-1084,0,0,0,-4,-76,-1072,0,0,0,-12,-96,-964,0,0,0,-20,-20,-916,0,0,0,0,0,0,6.131160259246826,21.340408325195312,-7.667065143585205,0,0,0,0.4961605370044708,18.295408248901367,-10.327065467834473,0,0,0,-3.598839282989502,14.86540699005127,-11.237065315246582,0,0,0,5.746160507202148,18.540409088134766,-10.782065391540527,0,0,0,17.296161651611328,25.470407485961914,-13.477065086364746,0,0,0,3.891160726547241,11.995407104492188,-17.502063751220703,0,0,0,-19.278839111328125,-2.7395923137664795,-18.832063674926758,0,0,0,-15.953839302062988,7.165407657623291,-8.927064895629883,0,0,0,-34.958839416503906,18.470407485961914,-0.21206480264663696,0,0,0,-37.12883758544922,34.50040817260742,14.242935180664062,0,0,0,-53.99884033203125,37.09040832519531,31.21793556213379,0,0,0,-48.85383987426758,48.57040786743164,42.45293426513672,0,0,0,-106.56884002685547,62.18540954589844,44.09793472290039,0,0,0,-175.4838409423828,75.17040252685547,56.27793502807617,0,0,0,-263.0888366699219,94.98040771484375,61.98293685913086,0,0,0,-467.2438659667969,87.1404037475586,64.7829360961914,0,0,0,-555.4088745117188,46.96040725708008,75.03793334960938,0,0,0,-430.1088562011719,-2.3545923233032227,95.93292999267578,0,0,0,-211.74383544921875,-54.854591369628906,97.8579330444336,0,0,0,-67.71884155273438,-86.94959259033203,91.34793090820312,0,0,0,-35.20383834838867,-83.34459686279297,81.05792999267578,0,0,0,-55.083839416503906,-73.99959564208984,70.0329360961914,0,0,0,-32.05384063720703,-51.459590911865234,70.06793212890625,0,0,0,6.3061604499816895,-14.254592895507812,68.0029296875,0,0,0,37.316162109375,35.51540756225586,70.2779312133789,80,-56,-824,0,0,0,112,-4,-884,0,0,0,136,60,-832,0,0,0,152,140,-836,0,0,0,124,180,-624,0,0,0,188,304,-788,0,0,0,232,532,-524,0,0,0,308,844,-260,0,0,0,500,1308,-184,0,0,0,516,1092,12,0,0,0,620,1040,60,0,0,0,700,780,236,0,0,0,664,760,400,0,0,0,612,556,480,0,0,0,592,584,500,0,0,0,528,564,696,0,0,0,476,692,852,0,0,0,472,704,1028,0,0,0,524,884,1108,0,0,0,704,1076,1408,0,0,0,1124,1428,1732,0,0,0,1644,1640,1928,0,0,0,1984,1588,1972,0,0,0,2064,1708,1784,0,0,0,2052,1504,1372,0,0,0,0,0,0,88.20616149902344,86.30040740966797,67.96793365478516,0,0,0,140.25115966796875,141.53041076660156,57.95793533325195,0,0,0,179.34616088867188,194.3804168701172,26.597936630249023,0,0,0,205.5261688232422,251.15040588378906,-28.527063369750977,0,0,0,235.10116577148438,302.11041259765625,-105.21206665039062,0,0,0,248.85617065429688,353.59539794921875,-189.4920654296875,0,0,0,263.1011657714844,376.59039306640625,-261.5220642089844,0,0,0,259.11114501953125,359.58038330078125,-318.0820617675781,0,0,0,233.91116333007812,320.6253967285156,-360.0820617675781,0,0,0,220.50616455078125,273.5503845214844,-380.487060546875,0,0,0,209.48117065429688,212.82540893554688,-385.8420715332031,0,0,0,174.34117126464844,163.54541015625,-368.3420715332031,0,0,0,163.56117248535156,114.19540405273438,-319.0970764160156,0,0,0,169.58116149902344,64.77540588378906,-262.7120666503906,0,0,0,147.88116455078125,19.310407638549805,-195.51206970214844,0,0,0,73.40116119384766,-14.674592971801758,-112.73706817626953,0,0,0,34.51616287231445,-26.924591064453125,-12.847064971923828,0,0,0,36.96615982055664,-31.92959213256836,87.95293426513672,0,0,0,-0.4488394558429718,-39.559593200683594,233.16793823242188,0,0,0,-49.903839111328125,-69.0645980834961,383.45794677734375,0,0,0,-158.89382934570312,-137.6295928955078,508.6529235839844,0,0,0,-235.33383178710938,-259.53460693359375,644.032958984375,0,0,0,-230.36383056640625,-443.984619140625,767.617919921875,0,0,0,-273.9038391113281,-599.8745727539062,793.2379150390625,0,0,0,-431.50885009765625,-692.9395751953125,481.2129211425781,1832,1184,768,0,0,0,1444,824,288,0,0,0,1220,340,-32,0,0,0,772,-128,-20,0,0,0,756,-584,-476,0,0,0,180,-960,-216,0,0,0,96,-948,-672,0,0,0,-172,-748,-544,0,0,0,12,-568,-592,0,0,0,328,-224,-556,0,0,0,844,56,-376,0,0,0,1772,132,72,0,0,0,3348,724,-4,0,0,0,5832,1572,56,0,0,0,8120,2952,3400,0,0,0,5840,3852,3332,0,0,0,4040,2768,3072,0,0,0,2008,2880,2072,0,0,0,1920,1740,1100,0,0,0,1524,1188,1356,0,0,0,584,708,1088,0,0,0,-128,544,1012,0,0,0,-560,300,580,0,0,0,-524,-24,184,0,0,0,-744,-464,308,0,0,0,0,0,0,-229.558837890625,-536.66455078125,78.95793151855469,0,0,0,-164.31883239746094,-533.6195678710938,-78.29706573486328,0,0,0,16.596160888671875,-442.339599609375,-210.17706298828125,0,0,0,173.326171875,-378.359619140625,-271.42706298828125,0,0,0,254.4911651611328,-351.1296081542969,-235.4120635986328,0,0,0,279.691162109375,-283.3695983886719,-185.85206604003906,0,0,0,264.6761474609375,-225.72459411621094,-154.98207092285156,0,0,0,211.79116821289062,-160.69459533691406,-135.90707397460938]"
