t,roll,pitch,yaw,ax,ay,az,gx,gy,gz
0.000000,54.149,24.990,-10.456,0.0428,-0.0235,0.3435,0.000,0.000,0.000
0.016667,54.682,25.320,-10.427,0.2696,0.0214,0.9828,33.337,12.357,-18.753
0.033334,55.153,25.388,-10.306,0.1966,0.0310,0.8751,23.509,12.544,-18.109
0.050001,55.497,25.467,-10.095,-0.0387,0.1750,0.5194,14.477,13.317,-16.831
0.066668,55.811,25.713,-9.817,-0.2493,0.3188,0.2640,8.887,13.640,-14.739
0.083335,56.188,26.084,-9.546,-0.3957,0.4302,0.0093,9.940,12.264,-13.048
0.100002,56.701,26.508,-9.292,-0.4647,0.4175,-0.2680,17.393,9.352,-12.012
0.116669,57.384,26.942,-9.153,-0.4925,0.3166,-0.4980,29.879,5.582,-12.512
0.133336,58.235,27.371,-9.101,-0.5215,0.2219,-0.6106,44.369,1.379,-14.326
0.150003,59.234,27.804,-9.256,-0.4563,0.1785,-0.4465,58.265,-2.695,-17.433
0.166670,60.398,28.227,-9.539,-0.3893,0.1517,-0.2130,73.263,-8.008,-20.882
0.183337,61.685,28.635,-9.944,-0.3119,0.2624,-0.1229,85.302,-13.324,-23.891
0.200004,62.872,29.042,-10.425,0.0788,0.1121,0.3848,82.018,-16.666,-26.468
0.216671,63.795,29.405,-10.899,0.4051,0.2615,0.7768,66.513,-16.534,-25.649
0.233338,64.374,29.745,-11.370,0.5723,0.4556,0.5799,45.825,-16.271,-26.486
0.250005,64.668,30.066,-11.844,0.5213,0.5078,0.1143,28.343,-16.497,-27.424
0.266672,64.808,30.353,-12.324,0.5384,0.5797,-0.2847,18.985,-17.358,-26.792
0.283339,64.933,30.607,-12.836,0.5003,0.4454,-0.5531,18.809,-19.593,-26.534
0.300006,65.092,30.832,-13.384,0.5054,0.4005,-0.5864,22.097,-21.804,-26.223
0.316673,65.266,31.040,-13.968,0.5328,0.4810,-0.4576,24.216,-23.728,-26.239
0.333340,65.460,31.249,-14.612,0.4685,0.4743,-0.3716,27.429,-26.430,-27.769
0.350007,65.705,31.472,-15.340,0.3405,0.3975,-0.3809,33.247,-29.971,-30.308
0.366674,65.984,31.696,-16.168,0.3622,0.2933,-0.3239,38.830,-34.656,-32.127
0.383341,66.284,31.906,-17.094,0.3264,0.4047,-0.2612,43.545,-39.542,-33.093
0.400008,66.629,32.099,-18.117,0.1220,0.5818,-0.4377,49.645,-44.546,-33.705
0.416675,67.059,32.265,-19.228,-0.0965,0.7002,-0.5995,57.747,-49.532,-33.354
0.433342,67.531,32.412,-20.433,-0.0892,0.8461,-0.5298,63.400,-54.705,-33.204
0.450009,68.075,32.545,-21.746,-0.0247,0.9407,-0.5954,71.455,-60.549,-33.600
0.466676,68.805,32.710,-23.220,-0.1716,0.6745,-0.8632,87.833,-67.805,-37.283
0.483343,69.881,32.944,-24.920,-0.7410,0.4279,-1.5123,116.341,-77.537,-43.725
0.500010,71.157,33.283,-26.862,-1.1699,0.1217,-1.7281,137.074,-87.470,-51.380
0.516677,72.692,33.812,-29.068,-1.7980,0.2846,-1.6900,162.759,-97.154,-63.363
0.533344,74.408,34.612,-31.629,-2.6078,0.6998,-2.3252,187.442,-110.212,-80.015
0.550011,76.155,35.580,-34.413,-1.7990,0.4114,-1.9405,199.541,-119.226,-87.680
0.566678,78.207,36.695,-37.472,-1.4351,-0.0601,-1.2355,230.580,-131.120,-94.355
0.583345,79.669,37.984,-40.827,-1.1848,-0.9823,-0.5522,209.577,-143.173,-102.507
0.600012,79.621,39.525,-44.259,-0.7844,-1.7233,-0.1280,126.550,-141.685,-115.946
0.616679,77.699,41.292,-47.623,0.8421,-1.9598,0.8787,16.601,-129.574,-130.799
0.633346,74.157,43.231,-50.880,1.5913,-1.4507,0.9441,-79.775,-111.404,-145.668
0.650013,70.121,45.172,-54.010,0.7903,-1.0293,0.4758,-110.089,-91.775,-150.693
0.666680,66.373,46.909,-56.880,-0.0326,-1.3052,0.6018,-99.849,-71.648,-140.195
0.683347,62.995,48.363,-59.363,1.0179,-1.4353,1.6602,-91.582,-52.435,-121.178
0.700014,60.344,49.429,-61.382,2.6472,-1.2296,3.4578,-66.854,-38.611,-94.012
0.716681,58.687,50.295,-62.450,7.3364,1.7569,2.7546,-49.910,-8.152,-66.385
0.733348,57.382,51.203,-62.603,5.0800,2.3210,2.7288,-71.987,23.934,-51.103
0.750015,55.803,52.208,-62.542,0.2907,0.7455,2.8887,-99.240,34.286,-51.515
0.766682,53.290,53.288,-62.419,-1.6710,-2.9145,3.1654,-158.217,40.325,-52.419
0.783349,50.702,54.335,-62.473,-1.6168,-3.2839,3.0388,-153.653,37.105,-52.824
0.800016,49.063,55.133,-62.513,0.4159,-1.3637,0.4934,-96.944,30.524,-39.511
0.816683,48.246,55.673,-63.268,0.7988,-2.1140,0.4140,-12.170,3.036,-43.427
0.833350,47.694,55.974,-64.060,0.0959,-2.3483,-0.3693,5.775,-6.508,-33.557
0.850017,46.160,56.339,-64.381,5.7898,-3.6132,-0.3461,-76.310,8.673,-25.667
0.866684,44.747,56.804,-64.791,-0.0915,-0.3958,-2.6279,-64.887,11.842,-32.799
0.883351,43.989,57.253,-64.978,0.2068,-0.7589,-1.2912,-36.651,16.911,-26.390
0.900018,43.732,57.651,-64.799,1.2113,-1.1389,-0.4513,-25.005,23.172,-15.480
